document1,document2,label,antecedent,
노란색깔이었어요.,오줌이 어떻게 생겼는데? ,,오줌,
참고 있었어요.,"확 나는 뗄려고 했는데.
떼려고 했는데? 
참고 있었어요.
아~",,나,
아저씨를 때리고 싶어요. ,"확 나는 뗄려고 했는데.
떼려고 했는데? 
참고 있었어요.
아~ 참고 있었어? ",,나,
찾아가서. ,"확 나는 뗄려고 했는데.
떼려고 했는데? 
참고 있었어요.
아~ 참고 있었어? 
아저씨를 때리고 싶어요.",,나,
만지게 했어요.,"가만히 있었는데 아저씨가 이렇게요, 팔을 이렇게 해서 ",,아저씨,
나올 때요.,오줌을 닦은 거야? ,,오줌,
"세게 닦아, ","아저씨 아프겠다고? 
왜? 
물티슈 닦는 거 봤거든요.  
어? 
물티슈를 보니까요,",,아저씨,
좀 빠르게 했어요.,"아저씨 아프겠다고? 
왜? 
물티슈 닦는 거 봤거든요.  
어? 
물티슈를 보니까요, 세게 닦아,",,아저씨,
집에 걸어갈 때마다,내가 혼자 집에 걸어가거든요. ,,내,
TV 프로그램 같은 거 막 보다가,"월, 화요일날 밤인가... 화요일날 밤에 이제 어른들은 다 주무시러 가고 막 이렇게 하다가 큰이모네 사촌 오빠랑 삼촌네 사촌오빠랑 저랑 셋이서 제일 큰 거실에서 얘기를 하고, ",,큰이모네 사촌 오빠랑 삼촌네 사촌오빠랑 저,
그런데 자려고 했는데 ,어쩌다가 제가 제 기준으로 왼쪽에 큰이모네 사촌오빠가 자고 오른쪽에 삼촌네 사촌오빠가 자서 저는 오빠들 사이에서 잤어요. ,,제,
좀 잠이 막 들면서 ,어쩌다가 제가 제 기준으로 왼쪽에 큰이모네 사촌오빠가 자고 오른쪽에 삼촌네 사촌오빠가 자서 저는 오빠들 사이에서 잤어요. 그런데 자려고 했는데,,제,
"비몽사몽 해졌는데,",어쩌다가 제가 제 기준으로 왼쪽에 큰이모네 사촌오빠가 자고 오른쪽에 삼촌네 사촌오빠가 자서 저는 오빠들 사이에서 잤어요. 그런데 자려고 했는데 좀 잠이 막 들면서,,제,
"그래서 그냥 자는 척, 자는 척은 아니고 약간 비몽사몽한 상태로 ",그러니까 아무리 생각해도 약간 제가 너무 불리한 거예요.,,제,
그 오빠가 알게 모르게 이렇게 막 이불도 좀 따로 덮을려고 하고 ,"그러니까 아무리 생각해도 약간 제가 너무 불리한 거예요. 그래서 그냥 자는 척, 자는 척은 아니고 약간 비몽사몽한 상태로",,제,
이불로 약간 뒤척이면서 방향을 틀기도 하고 막 그랬던 거 같애요.,"그러니까 아무리 생각해도 약간 제가 너무 불리한 거예요. 그래서 그냥 자는 척, 자는 척은 아니고 약간 비몽사몽한 상태로 그 오빠가 알게 모르게 이렇게 막 이불도 좀 따로 덮을려고 하고 ",,제,
아예 방향을 틀어버렸는데,저는 심하다 느껴져서,,저,
그래도 계속 그러니까,"그래서 그냥 자는 척, 자는 척은 아니고 약간 비몽사몽한 상태로 그 오빠가 알게 모르게 이렇게 막 이불도 좀 따로 덮을려고 하고 이불로 약간 뒤척이면서 방향을 틀기도 하고 막 그랬던 거 같애요.
그래서? 
그래서… 막... 저는 심하다 느껴져서 아예 방향을 틀어버렸는데 ",,그 오빠,
뭔가 갑자기 잠이 확 깨면서 ,저는 심하다 느껴져서 아예 방향을 틀어버렸는데 그래도 계속 그러니까,,저,
더 이상은 당할 수 없겠다는 약간 위기감 같은 게 확 들어가지고 ,저는 심하다 느껴져서 아예 방향을 틀어버렸는데 그래도 계속 그러니까 뭔가 갑자기 잠이 확 깨면서,,저,
벌떡 일어나 가지고 막... ,저는 심하다 느껴져서 아예 방향을 틀어버렸는데 그래도 계속 그러니까 뭔가 갑자기 잠이 확 깨면서 더 이상은 당할 수 없겠다는 약간 위기감 같은 게 확 들어가지고,,저,
벌떡 일어났는데,저는 심하다 느껴져서 아예 방향을 틀어버렸는데 그래도 계속 그러니까 뭔가 갑자기 잠이 확 깨면서 더 이상은 당할 수 없겠다는 약간 위기감 같은 게 확 들어가지고 벌떡 일어나 가지고 막... ,,저,
막 잡고 흔들면서,벌떡 일어났는데 그 오빠가 엄청 당황하면서 제가 무슨 큰일이 일어난 것처럼,,그 오빠,
"""괜찮아?"" ""괜찮아?"" 막 이러는 거예요.",벌떡 일어났는데 그 오빠가 엄청 당황하면서 제가 무슨 큰일이 일어난 것처럼 막 잡고 흔들면서,,그 오빠,
"저렇게 뜬금없고 어설프게 저런 말을 할까,","벌떡 일어났는데 그 오빠가 엄청 당황하면서 제가 무슨 큰일이 일어난 것처럼 막 잡고 흔들면서 ""괜찮아?"" ""괜찮아?"" 막 이러는 거예요. 그래서 속으로는 저 오빠가 얼마나 당황을 했으면 ",,그 오빠,
일단은 화장실 그냥 간다고 하고 ,"벌떡 일어났는데 그 오빠가 엄청 당황하면서 제가 무슨 큰일이 일어난 것처럼 막 잡고 흔들면서 ""괜찮아?"" ""괜찮아?"" 막 이러는 거예요. 그래서 속으로는 저 오빠가 얼마나 당황을 했으면 저렇게 뜬금없고 어설프게 저런 말을 할까, 하면서",,제,
화장실 갔는데 ,"벌떡 일어났는데 그 오빠가 엄청 당황하면서 제가 무슨 큰일이 일어난 것처럼 막 잡고 흔들면서 ""괜찮아?"" ""괜찮아?"" 막 이러는 거예요. 그래서 속으로는 저 오빠가 얼마나 당황을 했으면 저렇게 뜬금없고 어설프게 저런 말을 할까, 하면서 일단은 화장실 그냥 간다고 하고",,제,
이 상황을 일단은 그 오빠랑 같이 있어야 되니까 ,"벌떡 일어났는데 그 오빠가 엄청 당황하면서 제가 무슨 큰일이 일어난 것처럼 막 잡고 흔들면서 ""괜찮아?"" ""괜찮아?"" 막 이러는 거예요. 그래서 속으로는 저 오빠가 얼마나 당황을 했으면 저렇게 뜬금없고 어설프게 저런 말을 할까, 하면서 일단은 화장실 그냥 간다고 하고 화장실 갔는데",,제,
같이 있기 싫어서 ,"벌떡 일어났는데 그 오빠가 엄청 당황하면서 제가 무슨 큰일이 일어난 것처럼 막 잡고 흔들면서 ""괜찮아?"" ""괜찮아?"" 막 이러는 거예요. 그래서 속으로는 저 오빠가 얼마나 당황을 했으면 저렇게 뜬금없고 어설프게 저런 말을 할까, 하면서 일단은 화장실 그냥 간다고 하고 화장실 갔는데 이 상황을 일단은 그 오빠랑 같이 있어야 되니까",,제,
그냥 삼촌네 아파트를 나왔어요. ,"벌떡 일어났는데 그 오빠가 엄청 당황하면서 제가 무슨 큰일이 일어난 것처럼 막 잡고 흔들면서 ""괜찮아?"" ""괜찮아?"" 막 이러는 거예요. 그래서 속으로는 저 오빠가 얼마나 당황을 했으면 저렇게 뜬금없고 어설프게 저런 말을 할까, 하면서 일단은 화장실 그냥 간다고 하고 화장실 갔는데 이 상황을 일단은 그 오빠랑 같이 있어야 되니까 같이 있기 싫어서",,제,
핸드폰 들고. ,"벌떡 일어났는데 그 오빠가 엄청 당황하면서 제가 무슨 큰일이 일어난 것처럼 막 잡고 흔들면서 ""괜찮아?"" ""괜찮아?"" 막 이러는 거예요. 그래서 속으로는 저 오빠가 얼마나 당황을 했으면 저렇게 뜬금없고 어설프게 저런 말을 할까, 하면서 일단은 화장실 그냥 간다고 하고 화장실 갔는데 이 상황을 일단은 그 오빠랑 같이 있어야 되니까 같이 있기 싫어서 그냥 삼촌네 아파트를 나왔어요.",,제,
그래서 막 남자친구한테 엄청 전화랑 보이스톡이랑 했는데 ,"벌떡 일어났는데 그 오빠가 엄청 당황하면서 제가 무슨 큰일이 일어난 것처럼 막 잡고 흔들면서 ""괜찮아?"" ""괜찮아?"" 막 이러는 거예요. 그래서 속으로는 저 오빠가 얼마나 당황을 했으면 저렇게 뜬금없고 어설프게 저런 말을 할까, 하면서 일단은 화장실 그냥 간다고 하고 화장실 갔는데 이 상황을 일단은 그 오빠랑 같이 있어야 되니까 같이 있기 싫어서 그냥 삼촌네 아파트를 나왔어요. 핸드폰 들고.",,제,
그때가 좀 새벽 5시? 6시? 여가지고 안 받아서 ,그래서 막 남자친구한테 엄청 전화랑 보이스톡이랑 했는데,,남자친구,
너무 막막해가지고 ,"벌떡 일어났는데 그 오빠가 엄청 당황하면서 제가 무슨 큰일이 일어난 것처럼 막 잡고 흔들면서 ""괜찮아?"" ""괜찮아?"" 막 이러는 거예요. 그래서 속으로는 저 오빠가 얼마나 당황을 했으면 저렇게 뜬금없고 어설프게 저런 말을 할까, 하면서 일단은 화장실 그냥 간다고 하고 화장실 갔는데 이 상황을 일단은 그 오빠랑 같이 있어야 되니까 같이 있기 싫어서 그냥 삼촌네 아파트를 나왔어요. 핸드폰 들고. 그래서 막 남자친구한테 엄청 전화랑 보이스톡이랑 했는데 그때가 좀 새벽 5시? 6시? 여가지고 안 받아서",,제,
일단은 여기 삼촌네 집에서 그냥 좀 멀리 가고 싶다는 생각이 들어가지고 ,"벌떡 일어났는데 그 오빠가 엄청 당황하면서 제가 무슨 큰일이 일어난 것처럼 막 잡고 흔들면서 ""괜찮아?"" ""괜찮아?"" 막 이러는 거예요. 그래서 속으로는 저 오빠가 얼마나 당황을 했으면 저렇게 뜬금없고 어설프게 저런 말을 할까, 하면서 일단은 화장실 그냥 간다고 하고 화장실 갔는데 이 상황을 일단은 그 오빠랑 같이 있어야 되니까 같이 있기 싫어서 그냥 삼촌네 아파트를 나왔어요. 핸드폰 들고. 그래서 막 남자친구한테 엄청 전화랑 보이스톡이랑 했는데 그때가 좀 새벽 5시? 6시? 여가지고 안 받아서 너무 막막해가지고",,제,
핸드폰이랑 이어폰 들고 ,"벌떡 일어났는데 그 오빠가 엄청 당황하면서 제가 무슨 큰일이 일어난 것처럼 막 잡고 흔들면서 ""괜찮아?"" ""괜찮아?"" 막 이러는 거예요. 그래서 속으로는 저 오빠가 얼마나 당황을 했으면 저렇게 뜬금없고 어설프게 저런 말을 할까, 하면서 일단은 화장실 그냥 간다고 하고 화장실 갔는데 이 상황을 일단은 그 오빠랑 같이 있어야 되니까 같이 있기 싫어서 그냥 삼촌네 아파트를 나왔어요. 핸드폰 들고. 그래서 막 남자친구한테 엄청 전화랑 보이스톡이랑 했는데 그때가 좀 새벽 5시? 6시? 여가지고 안 받아서 너무 막막해가지고 일단은 여기 삼촌네 집에서 그냥 좀 멀리 가고 싶다는 생각이 들어가지고",,제,
엄청 그냥 모르는 길인데 ,"벌떡 일어났는데 그 오빠가 엄청 당황하면서 제가 무슨 큰일이 일어난 것처럼 막 잡고 흔들면서 ""괜찮아?"" ""괜찮아?"" 막 이러는 거예요. 그래서 속으로는 저 오빠가 얼마나 당황을 했으면 저렇게 뜬금없고 어설프게 저런 말을 할까, 하면서 일단은 화장실 그냥 간다고 하고 화장실 갔는데 이 상황을 일단은 그 오빠랑 같이 있어야 되니까 같이 있기 싫어서 그냥 삼촌네 아파트를 나왔어요. 핸드폰 들고. 그래서 막 남자친구한테 엄청 전화랑 보이스톡이랑 했는데 그때가 좀 새벽 5시? 6시? 여가지고 안 받아서 너무 막막해가지고 일단은 여기 삼촌네 집에서 그냥 좀 멀리 가고 싶다는 생각이 들어가지고 핸드폰이랑 이어폰 들고",,제,
그냥 무조건 앞만 보고 걸었어요. ,"벌떡 일어났는데 그 오빠가 엄청 당황하면서 제가 무슨 큰일이 일어난 것처럼 막 잡고 흔들면서 ""괜찮아?"" ""괜찮아?"" 막 이러는 거예요. 그래서 속으로는 저 오빠가 얼마나 당황을 했으면 저렇게 뜬금없고 어설프게 저런 말을 할까, 하면서 일단은 화장실 그냥 간다고 하고 화장실 갔는데 이 상황을 일단은 그 오빠랑 같이 있어야 되니까 같이 있기 싫어서 그냥 삼촌네 아파트를 나왔어요. 핸드폰 들고. 그래서 막 남자친구한테 엄청 전화랑 보이스톡이랑 했는데 그때가 좀 새벽 5시? 6시? 여가지고 안 받아서 너무 막막해가지고 일단은 여기 삼촌네 집에서 그냥 좀 멀리 가고 싶다는 생각이 들어가지고 핸드폰이랑 이어폰 들고 엄청 그냥 모르는 길인데 ",,제,
"그래서, 그래서 또 이거를 고민을 했는데","벌떡 일어났는데 그 오빠가 엄청 당황하면서 제가 무슨 큰일이 일어난 것처럼 막 잡고 흔들면서 ""괜찮아?"" ""괜찮아?"" 막 이러는 거예요. 그래서 속으로는 저 오빠가 얼마나 당황을 했으면 저렇게 뜬금없고 어설프게 저런 말을 할까, 하면서 일단은 화장실 그냥 간다고 하고 화장실 갔는데 이 상황을 일단은 그 오빠랑 같이 있어야 되니까 같이 있기 싫어서 그냥 삼촌네 아파트를 나왔어요. 핸드폰 들고. 그래서 막 남자친구한테 엄청 전화랑 보이스톡이랑 했는데 그때가 좀 새벽 5시? 6시? 여가지고 안 받아서 너무 막막해가지고 일단은 여기 삼촌네 집에서 그냥 좀 멀리 가고 싶다는 생각이 들어가지고 핸드폰이랑 이어폰 들고 엄청 그냥 모르는 길인데 그냥 무조건 앞만 보고 걸었어요.",,제,
왜냐하면 숙모네 집인가 하여튼 거기를 갔었는데 ,삼촌은 그땐 없었지만 이제 사촌 오빠만 먼저 그러니까 삼촌네 가족 중에 그 사촌 오빠만 먼저 삼촌집을 같이 넘어온 상황이어서.,,사촌 오빠,
"무슨 친구 약속 때문에 왔다가 다,",삼촌은 그땐 없었지만 이제 사촌 오빠만 먼저 그러니까 삼촌네 가족 중에 그 사촌 오빠만 먼저 삼촌집을 같이 넘어온 상황이어서. 왜냐하면 숙모네 집인가 하여튼 거기를 갔었는데,,사촌 오빠,
자기 혼자만 삼촌네로 온 거 같더라고요.,"삼촌은 그땐 없었지만 이제 사촌 오빠만 먼저 그러니까 삼촌네 가족 중에 그 사촌 오빠만 먼저 삼촌집을 같이 넘어온 상황이어서. 왜냐하면 숙모네 집인가 하여튼 거기를 갔었는데 무슨 친구 약속 때문에 왔다가 다, ",,사촌 오빠,
좀 너무 막막한 거예요.,"그래서 그냥 내가 이거를 어떻게 해야 될까,",,내,
너무 막막해서 ,"그래서 그냥 내가 이거를 어떻게 해야 될까, 좀 너무 막막한 거예요. 그래가지고",,내,
"이거를 말을 해야 될까, ","그래서 그냥 내가 이거를 어떻게 해야 될까, 좀 너무 막막한 거예요. 그래가지고 너무 막막해서",,내,
아니면 주변에 도움을 청해야 될까. ,"그래서 그냥 내가 이거를 어떻게 해야 될까, 좀 너무 막막한 거예요. 그래가지고 너무 막막해서 이거를 말을 해야 될까,",,내,
"아니면 뭐 아빠한테 말을 하면, ","그래서 그냥 내가 이거를 어떻게 해야 될까, 좀 너무 막막한 거예요. 그래가지고 너무 막막해서 이거를 말을 해야 될까, 아니면 주변에 도움을 청해야 될까. ",,내,
이거를 어떻게 아빠한테 말 하나. 하는 생각이 들다가,"그래서 그냥 내가 이거를 어떻게 해야 될까, 좀 너무 막막한 거예요. 그래가지고 너무 막막해서 이거를 말을 해야 될까, 아니면 주변에 도움을 청해야 될까. 아니면 뭐 아빠한테 말을 하면, ",,내,
엄마가 갑자기 보고 싶기도 하고,하는 생각이 들다가 만약에 내가 엄마랑 같이 왔으면은 이런 일 없었을텐데 ,,내,
이런 일을 당했더라도,하는 생각이 들다가 만약에 내가 엄마랑 같이 왔으면은 이런 일 없었을텐데 엄마가 갑자기 보고 싶기도 하고 내가 이런 일 당했을 때 만약에 엄마가 있어서,,내,
엄마한테 위로 같은 거 받으면... 그래도 좀 마음이 괜찮았을 텐데,하는 생각이 들다가 만약에 내가 엄마랑 같이 왔으면은 이런 일 없었을텐데 엄마가 갑자기 보고 싶기도 하고 내가 이런 일 당했을 때 만약에 엄마가 있어서 이런 일을 당했더라도 그러면 엄마한테 말을…,,내,
"혼, 혼자... 모르는 곳에서 그렇게 하니까,",하는 생각이 들다가 만약에 내가 엄마랑 같이 왔으면은 이런 일 없었을텐데 엄마가 갑자기 보고 싶기도 하고 내가 이런 일 당했을 때 만약에 엄마가 있어서 이런 일을 당했더라도 그러면 엄마한테 말을... 엄마한테 위로 같은 거 받으면... 그래도 좀 마음이 괜찮았을 텐데... 막... 좀…,,내,
그냥 좀 막막해가지고,"하는 생각이 들다가 만약에 내가 엄마랑 같이 왔으면은 이런 일 없었을텐데 엄마가 갑자기 보고 싶기도 하고 내가 이런 일 당했을 때 만약에 엄마가 있어서 이런 일을 당했더라도 그러면 엄마한테 말을... 엄마한테 위로 같은 거 받으면... 그래도 좀 마음이 괜찮았을 텐데... 막... 좀... 혼, 혼자... 모르는 곳에서 그렇게 하니까,",,내,
그렇게 한 두 시간 정도 걸었다가,"하는 생각이 들다가 만약에 내가 엄마랑 같이 왔으면은 이런 일 없었을텐데 엄마가 갑자기 보고 싶기도 하고 내가 이런 일 당했을 때 만약에 엄마가 있어서 이런 일을 당했더라도 그러면 엄마한테 말을... 엄마한테 위로 같은 거 받으면... 그래도 좀 마음이 괜찮았을 텐데... 막... 좀... 혼, 혼자... 모르는 곳에서 그렇게 하니까, 그냥 좀 막막해가지고 자꾸 생각이 꼬리를 물고 이어져가지고",,내,
그래서 일단은 말하지 않기로 결정을 하고,그렇게 한 두 시간 정도 걸었다가 나는 아무리 생각을 해도 그 오빠 이미지가 집에서 너무 좋은 거 같애서 제 말 아무도 안 믿어줄 거 같은 거예요. ,,나,
일단 집을 나와야 되겠다는 생각에 나왔는데,그래서 일단은 말하지 않기로 결정을 하고 제가 너무 그때 당황스러워서,,제,
생각해보니까,그래서 일단은 말하지 않기로 결정을 하고 제가 너무 그때 당황스러워서 일단 집을 나와야 되겠다는 생각에 나왔는데,,제,
그래서 갔는... 데...,그래서 일단은 말하지 않기로 결정을 하고 제가 너무 그때 당황스러워서 일단 집을 나와야 되겠다는 생각에 나왔는데 생각해보니까 또 짐이 거기에 있는 거예요. 제 모든 짐이. ,,제,
일어났는데,"그래서 갔는... 데... 이제 그러다가 여덟... 그때 큰이모한테 8시쯤에 전화가 와가지고, ",,큰이모,
"어차피 돌아가는 길이었으니까,","그래서 갔는... 데... 이제 그러다가 여덟... 그때 큰이모한테 8시쯤에 전화가 와가지고, 일어났는데 제가 없으니까 어딨냐고 빨리 들어오라고 그런 식으로 전화가 오셔가지고 ",,제,
마음도 불편하고 해서,"그때 큰이모한테 8시쯤에 전화가 와가지고, 일어났는데 제가 없으니까 어딨냐고 빨리 들어오라고 그런 식으로 전화가 오셔가지고 어차피 돌아가는 길이었으니까, 그런데 좀... 이런 일이 있는데 큰이모 전화 온 것도 보니까",,제,
그냥 갔는데,"그때 큰이모한테 8시쯤에 전화가 와가지고, 일어났는데 제가 없으니까 어딨냐고 빨리 들어오라고 그런 식으로 전화가 오셔가지고 어차피 돌아가는 길이었으니까, 그런데 좀... 이런 일이 있는데 큰이모 전화 온 것도 보니까 마음도 불편하고 해서 ",,제,
삼촌 집에 일단 들어왔는데,제가 산책을 해서 그래서 ,,제,
어딜 그렇게 다니냐고 물어보는 거예요.,제가 산책을 해서 그래서 삼촌 집에 일단 들어왔는데 그 오빠가 엄청 아무렇지 않게,,그 오빠,
"그냥 ""산책하고 들어왔어."" 이러면서 ","그런데 제가 거기서 갑자기 너무 평소랑 다른 반응을 보이면 이상해질 거 같은 거예요. 상황이, 분위기가 알아챌 거 같기도 하고 그래서",,제,
소파에 있었는데,"그런데 제가 거기서 갑자기 너무 평소랑 다른 반응을 보이면 이상해질 거 같은 거예요. 상황이, 분위기가 알아챌 거 같기도 하고 그래서 그냥 ""산책하고 들어왔어."" 이러면서 ",,제,
센터 같은 거를 알더라고요.,그런데 아는 언니가 카카오톡으로 말을 했는데 막 자기 친구 중에서도 가정폭력 당했던 언니가 있었어서 ,,아는 언니,
해바라기센터라는 데를 알려줬어요.,"그래가지고 그 언니가 막 일단은 당장 거기서 빨리 나오라고, 원래 목요일날 차표가 있었는데 아빠한테 돈을 받든지 어떻게 해서라도 표를 구해서 빨리 올라오라고, 같이 있지 말라고 하고",,그 언니,
그런데 막 얘기를 하고 가라고 그러는 거예요.,그런데 제가 그렇게 울면서 삼촌한테 일단 대전 보내달라고 엄청 빌었거든요. 울면서. 그건 분명히 기억나요.,,삼촌,
그런데 막 그렇게 울면서,그런데 제가 그렇게 울면서 삼촌한테 일단 대전 보내달라고 엄청 빌었거든요. 울면서. 그건 분명히 기억나요. 그런데 막 얘기를 하고 가라고 그러는 거예요. ,,제,
그런데 우니까,그런데 막 그렇게 울면서 제가 엄청 되게 막 울었거든요. ,,제,
혹시나 믿어주지 않을까,"그래서 절대 안 믿어준다, 절대 안 믿어준다, 이러면서 말 안 할 거라고, 말 안 할 거라고 했는데 점점 막... 혼자 왔으니까 약간 마음이 약해지고 삼촌이 달래주시니까",,삼촌,
"믿어주시겠다고, 믿어주시겠다고 하는 거예요.","혼자 왔으니까 약간 마음이 약해지고 삼촌이 달래주시니까 혹시나 믿어주지 않을까 하는 생각이 드는 거예요. 그래가지고 진짜 믿어주실 거냐고, 믿어주실 거냐고 했는데 ",,삼촌,
그런 정도는 당연히 구별할 수 있잖아요.,"그런데 삼촌 입장에서는 믿고 싶지 않을 수 있는데 당한 사람 입장에서는 솔직히 제가 막 어, 지금도 어리지만 그런 거 못 구별할 정도로 머리가 그러진 않잖아요. 어느 정도 머리도 컸는데.",,제,
그래서 막 또 엄청 울면서,"그러니까 말씀드렸으니까 나 이제 대전 갈 거라고 안에 짐이 있는데 짐을... 짐 좀 달라고 저 대전 갈 거라고, 그걸 들으니까 갑자기 또, 또 끊기는 거예요, 이성이. ",,저,
그런데 진짜 믿었는데 ,그런데 그때 제가 정신이 너무 없어서 지갑을 어떻게 갖고 왔는지 모르겠는데 전 돈이... 있었... 카드가 있었거든요.,,제,
그거 보니까... ,그런데 그때 제가 정신이 너무 없어서 지갑을 어떻게 갖고 왔는지 모르겠는데 전 돈이... 있었... 카드가 있었거든요. 그런데 진짜 믿었는데,,제,
너무 배신감 들고 ,그런데 그때 제가 정신이 너무 없어서 지갑을 어떻게 갖고 왔는지 모르겠는데 전 돈이... 있었... 카드가 있었거든요. 그런데 진짜 믿었는데 그거 보니까…,,제,
실망스럽고 ,그런데 그때 제가 정신이 너무 없어서 지갑을 어떻게 갖고 왔는지 모르겠는데 전 돈이... 있었... 카드가 있었거든요. 그런데 진짜 믿었는데 그거 보니까... 너무 배신감 들고,,제,
너무 무서운 거예요.,그런데 그때 제가 정신이 너무 없어서 지갑을 어떻게 갖고 왔는지 모르겠는데 전 돈이... 있었... 카드가 있었거든요. 그런데 진짜 믿었는데 그거 보니까... 너무 배신감 들고 실망스럽고 ,,제,
그리고 너무 배신감 들어서...,"그런데 제가 너무 무서워서, ",,제,
핸드폰이랑 카드 같은 것만 들고 ,"제가 막 소리치면서, ",,제,
도망쳤어요... ,"제가 막 소리치면서, 핸드폰이랑 카드 같은 것만 들고",,제,
짐을 갖고 가고 싶었는데... 짐을 갖고 가고 싶었는데... ,"제가 막 소리치면서, 핸드폰이랑 카드 같은 것만 들고 도망쳤어요…",,제,
못 가져 왔어요. ,"제가 막 소리치면서, 핸드폰이랑 카드 같은 것만 들고 도망쳤어요... 짐을 갖고 가고 싶었는데... 짐을 갖고 가고 싶었는데... ",,제,
도망쳤어요. ,"제가 막 소리치면서, 핸드폰이랑 카드 같은 것만 들고 도망쳤어요... 짐을 갖고 가고 싶었는데... 짐을 갖고 가고 싶었는데... 못 가져 왔어요. ",,제,
그래서 빨리 도로 쪽으로 가서 ,"자꾸 집에서 쫓아오는, 쫓아오는 건 못 봤는데 자꾸 제 느낌이... 뒤 돌면은 그 사람들이 있을 것 같고 뒤돌면 그 사람들이 있을 것 같고…",,제,
"택시 잡아서, 택시 잡아서 ","자꾸 집에서 쫓아오는, 쫓아오는 건 못 봤는데 자꾸 제 느낌이... 뒤 돌면은 그 사람들이 있을 것 같고 뒤돌면 그 사람들이 있을 것 같고... 그래서 빨리 도로 쪽으로 가서",,제,
여수역으로 아저씨한테 가달라고 했어요. ,"자꾸 집에서 쫓아오는, 쫓아오는 건 못 봤는데 자꾸 제 느낌이... 뒤 돌면은 그 사람들이 있을 것 같고 뒤돌면 그 사람들이 있을 것 같고... 그래서 빨리 도로 쪽으로 가서 택시 잡아서, 택시 잡아서",,제,
그런데 가달라고 했는데 ,"자꾸 집에서 쫓아오는, 쫓아오는 건 못 봤는데 자꾸 제 느낌이... 뒤 돌면은 그 사람들이 있을 것 같고 뒤돌면 그 사람들이 있을 것 같고... 그래서 빨리 도로 쪽으로 가서 택시 잡아서, 택시 잡아서 여수역으로 아저씨한테 가달라고 했어요. ",,제,
여수역에 혼자 왔어요.,"그런데 가달라고 했는데 큰이모한테 전화 와서, 큰이모한테 저 짐 거기 있는데 나중에 말씀드릴 테니까 제발... 제발 짐 좀 갖다달라고 하고 남자친구한테 받은 KTX 티켓 받아서 ",,저,
그런데 여수역에 혼자 있으니까 무서워서 ,"그런데 가달라고 했는데 큰이모한테 전화 와서, 큰이모한테 저 짐 거기 있는데 나중에 말씀드릴 테니까 제발... 제발 짐 좀 갖다달라고 하고 남자친구한테 받은 KTX 티켓 받아서 여수역에 혼자 왔어요. ",,저,
다시 그 언니랑 전화했어요.,"그런데 가달라고 했는데 큰이모한테 전화 와서, 큰이모한테 저 짐 거기 있는데 나중에 말씀드릴 테니까 제발... 제발 짐 좀 갖다달라고 하고 남자친구한테 받은 KTX 티켓 받아서 여수역에 혼자 왔어요. 그런데 여수역에 혼자 있으니까 무서워서 ",,저,
사주시겠다고 해서,"KTX 타기까지 시간이 남아갖고 이모가 뭐 사주시겠다고 했는데 별로 안 먹, 안 먹고 싶다고 했는데 ",,이모,
말해달라고 했는데,이렇게 보내면 큰이모 입장에서 마음이 안 편하지 않겠냐고 ,,큰이모,
생각해가지고,"여기 있는 사람들은 내가 일단 믿으면 안 되겠구나,",,내,
죄송하다고 하고,"여기 있는 사람들은 내가 일단 믿으면 안 되겠구나, 생각해가지고 제가 나중에 다 설명드리겠다고 지금은 안 될 것 같다고, 안 될 것 같다고 ",,내,
데리러 와가지고 ,"혼자 기차 타고 대전역 왔는데 대전역, 대전역에 남자친구가 데리러 와가지고, ",,남자친구,
"증거 남길려고 도와주시러 온 건 맞는데,","그 의사쌤이 남자분이셔 갖고 너무 또, 그냥... 그냥... 좀... 억울했어요. ",,그 의사쌤,
그런 것도 안 겪어도 되는데 ,"증거 남길려고 도와주시러 온 건 맞는데, 약간 그냥... 이런 일 안 겪었으면은 처음 보는 사람들이랑,한테 제 몸을 보여주는 거잖아요.",,제,
너무 억울하고 ,"증거 남길려고 도와주시러 온 건 맞는데, 약간 그냥... 이런 일 안 겪었으면은 처음 보는 사람들이랑,한테 제 몸을 보여주는 거잖아요. 그런 것도 안 겪어도 되는데",,제,
부끄럽고... ,"증거 남길려고 도와주시러 온 건 맞는데, 약간 그냥... 이런 일 안 겪었으면은 처음 보는 사람들이랑,한테 제 몸을 보여주는 거잖아요. 그런 것도 안 겪어도 되는데 너무 억울하고",,제,
너무 힘들었어요.,"증거 남길려고 도와주시러 온 건 맞는데, 약간 그냥... 이런 일 안 겪었으면은 처음 보는 사람들이랑,한테 제 몸을 보여주는 거잖아요. 그런 것도 안 겪어도 되는데 너무 억울하고 부끄럽고... ",,제,
"연락해, 해 놓겠다고 하셔서","원래는 혼자서 안 갔는데 아빠가 일이 있어, **랑 그런 게 바빠가지고 큰이모랑 그런 분들 계시니까 ",,아빠,
먼저 가서 주무셨어요.,"할머니랑 큰 이모가 먼저 주무시겠다고, 원래 삼촌이랑, 외삼촌이랑 외숙모가 주무시는 안방에 ",,할머니랑 큰 이모,
"이렇게 옆을, TV 쪽 보면서 누워 가지고",코고는 소리 나고 이 오빠가 잠들면서 ,,이 오빠,
막... 소리... 저항하면은,"여기서 내가 엄청 저항하면은 더 해코지 할까봐
더 해코지 한다는 건 어떤 말이야? ",,내,
